sku,name,value,category_name,quantity,warehouse_id
MED-301,Losartan 50mg,22000,MEDICATION,40,1
MED-302,Metformina 850mg,18000,MEDICATION,35,1
MED-303,Omeprazol 20mg,12000,MEDICATION,60,1
SURG-301,Jeringas 3ml,800,SURGICAL_SUPPLIES,500,1
SURG-302,Agujas 21G,500,SURGICAL_SUPPLIES,1000,1
REAG-301,Test de Embarazo,12000,REAGENTS,25,1
REAG-302,Test de Glucosa,15000,REAGENTS,30,1
EQUIP-301,Monitor de Presión Arterial,120000,EQUIPMENT,2,1
EQUIP-302,Desfibrilador Portátil,450000,EQUIPMENT,1,1
OTH-301,Vendas Elásticas,3000,OTHERS,80,1
OTH-302,Gasas Estériles,2500,OTHERS,120,1
